표준단어명,표준단어 설명
BOD,생화학적 산소요구량과 같은 말로， 호기성 미생물이 일정 기간 동안 물 속에 있는 유기물을 분해할 때 사용하는 산소의 양을 말함
AA컬럼,(테이블·엑셀 등) AA컬럼
AB컬럼,(테이블·엑셀 등) AB컬럼
풍부도,한 개체군의 크기， 즉 개체수 또는 생물량
신청업체,단체나 기관에 어떠한 일이나 물건을 알려 청구한 사업이나 기업의 주체
폐지,廢止. 실시하여 오던 제도나 법규， 일 따위를 그만두거나 없앰
능력,일을 감당해 내는 힘
취하,신청하였던 일이나 서류 따위를 취소함
비정상,정상이 아님. 정상적이 아닌 것
약어,略語 말 또는 단어의 일부분을 생략하여 간략화한 말
결석,나가야 할 자리에 나가지 않음
흡수,외부에 있는 사람이나 사물 따위를 내부로 모아들임
석면,사문석 또는 각섬석이 섬유질로 변한 규산염 광물. 산성이나 염기성에 강하고 열과 전기가 잘 통하지 않아서 방열재， 방화재， 절연용 재료 따위로 많이 쓰인다
정도,程度 사물의 성질이나 가치를 양부(良否)， 우열 따위에서 본 분량이나 수준
탈루,밖으로 빼내 새게 함
할당대상업체,배출권거래법 제8조 제1항에 따라 환경부장관이 배출권 할당대상업체로 지정·고시한 업체
학력,學歷. 학교를 다닌 경력
누적,포개져서 쌓임. 포개어 쌓음
AC컬럼,(테이블·엑셀 등) AC컬럼
응낙,상대편이 부탁하는 것을 응하여 받아줌
학술,학문과 기술을 아울러 이르는말. 학문의 방법이나 이론
사고,事故. 뜻밖에 일어난 불행한 일. 사람에게 해를 입혔거나 말썽을 일으킨 나쁜 짓. 어떤 일이 일어난 까닭
변경후,변경하고 난 후
달성,達成 뜻한 바를 이룸
인정,옳거나 확실하다고 여김
석면함유가능물질,지질작용으로 인하여 자연적으로 석면을 함유할 수 있는 것으로 알려진 광물질
실태,實態 있는 그대로의 상태. 또는 실제의 모양
현원,현재의 인원. 현재원(現在員)
계정,부기의 원장에서 같은 종류나 동일 명칭의 자산， 부채， 자본， 수익， 비용， 손실에 대하여 그 증감을 계산， 기록하기 위하여 설정한 단위
A컬럼,(테이블·엑셀 등) A컬럼
공사후,공사를 한 후
인수,물건·권리를 넘겨받음
인수자,引受者. 물건이나 권리를 건네받는 사람
획득,얻어내거나 얻어가짐
취득,取得. 자기 것으로 만들어 가짐
진입로,들어가는 길
접근,接近. 가까이 다가감/기억 장치에 데이터를 쓰거나 기억 장치에 들어 있는 데이터를 탐색하고 읽는 과정
접속자,접속(여러 개의 프로세서와 기억 장치 모듈 사이를 연결하는 일， 전기회로에서 전원·저항·스위치 등의 전기적 연결)하는 사람 혹은 기계
법률,국회의 의결을 거쳐 대통령이 서명하고 공포함으로써 성립하는 국법
실제,實際. 사실의 경우나 형편
행위,(行爲) 사람이 의지를 가지고 하는 짓
계좌번호,計座番號. 금융 기관 등에 예금하려고 설정한 개인명의나 법인명의 계좌에 부여하는 식별 번호
조치결과,어떤 문제나 사태를 처리한 결과
액티비티,1. 움직입， 활동
,
ACTIVEX,액티브X， 객체지향적 소프트웨어 구성요소 개발에 사용되는 기술
활성화,사회， 조직， 물질， 에너지 따위의 기능이 활발함. 또는 그러한 기능을 활발하게 함
활성,活性. 어떤 시스템이 동작할 수 있는 수준에 있는 것
종일,1. 아침부터 저녁까지의 동안
,
AD컬럼,(테이블·엑셀 등) AD컬럼
주소,1. 특정 위치를 행정 구역으로 나타낸 이름
,
추가,나중에 더하여 보탬
학위,學位 어떤 부문의 학문을 전문적으로 익히고 공부하여 일정한 수준에 오른 사람에게 대학에서 주는 자격
,
인접,이웃해 있음. 옆에 닿아 있음
행정구역,行政區域. 행정 기관의 권한이 미치는 범위의 일정한 구역. 특별시， 광역시， 도， 군， 읍， 면 따위이다
행정처분,행정 주체가 구체적 사실에 관한 법 진행으로서 행하는 공법 행위 가운데 권력적 단독 행위. 영업 면허， 공기업의 특허， 조세의 부과 따위이다
채택,의견，제도，작품 따위를 골라서 다루거나 뽑아 씀
성인,자라서 어른이 된 사람
합산,합하여 계산함
권고,勸告 어떤 일에 관하여 상대방이 어떤 조치를 취할 것을 권유하는 일
고문,어떤 일을 좀 더 효율적이고 바르게 처리하려고 그 방면의 전문가나 전문가들로 이루어진 기구에 의견을 물음
수생태,육수생태계(육지의 늪， 호수， 내 따위의 생태계)'의 준말. 더 줄여 '수생태'라고 이르기도 한다
AE컬럼,(테이블·엑셀 등) AE컬럼
AEGL,미국 환경보호청에서 발표하는 기준으로 사고로 인한 화학물질 누출 시 이를 다루는 비상대응요원에 의해 사용되는 기준
생물측정망,하천， 하구， 호소 등에 대한 수생태계 현황 및 추세파악하기 위한 측정망
배출량,어떤 물질을 안에서 밖으로 내보내는 양
응시,시험에 응함
기존,이미 존재함
AF컬럼,(테이블·엑셀 등) AF컬럼
산하기관,어떤 기관에 딸린 단체
사후관리,일이 끝나고 난 후 문제가 생기면 계속 관리를 해주는 일
이후,以後. 기준이 되는 때를 포함하여 그보다 뒤
향후,이것에 뒤이어 오는 때나 자리
영급,나무를 나이에 따라 나누는 등급
AG컬럼,(테이블·엑셀 등) AG컬럼
할당기준,몫을 갈라 나눈 게 기본이 되는 표준
연령,사람이나 동·식물 따위가 세상에 나서 살아온 햇수
가중,(사물이나 현상이 효과를) 더욱 크고 무겁게 하는 것
대리점,특정 회사의 위탁을 받아 거래를 대리하거나 매개하는 일을 하는 가게
의제,"1. 회의 목적으로 삼을 사항의 ""제목"" (예: 제무제표 승인， 이익배당， 이사선임 등)"
,
협약,협상에 의하여 조약을 맺음. 또는 그 조약
동의,의사나 의견을 같이하거나， 다른 사람의 행위를 승인하거나 시인함
동의서,어떤 문제에 대하여 동의를 표시하는 문건
동의자,의사나 의견에 찬성하는 사람
농축산,농산과 축산을 아울러 이르는 말
대리인,代理人. 다른 사람을 대신하는 사람
AH컬럼,(테이블·엑셀 등) AH컬럼
AI컬럼,(테이블·엑셀 등) AI컬럼
보좌관,상관을 돕는 일을 맡은 직책. 또는 그런 관리
취지,어떤 일의 근본이 되는 목적이나 긴요한 뜻
대기,1. '공기'를 달리 이르는 말
,
항공화물운송장,항공으로 화물을 운송할 시 발행하는 문서
공항,空港 항공 수송을 위하여 사용하는 공공용 비행장
,
AJ컬럼,(테이블·엑셀 등) AJ컬럼
조정,調整. 어떤 기준이나 실정에 맞게 정돈함
AK컬럼,(테이블·엑셀 등) AK컬럼
AL컬럼,(테이블·엑셀 등) AL컬럼
배당,配當. 일정한 기준에 따라 나누어 줌
수강,강습을 받거나 강의를 들음
부하율,어떤 기간의 평균 수요 전력과 최대 수요 전력의 비율
알고리즘,(컴퓨터) 어떤 문제의 해결을 위하여， 입력된 자료를 토대로 하여 원하는 출력을 유도하여 내는 규칙의 집합.
,
별칭,별명 또는 따로 부르는 애칭
올바로,폐기물의 배출에서부터 운반·최종처리까지의 전 과정을 인터넷을 통해 실시간으로 투명하게 관리하는 시스템으로 폐기물의 발생억제(폐기물 감량)， 재활용(순환골재유통정보)， 적정처리(적법처리，  RFID시스템)을 통한 폐기물의 전 생애적 관리를 하나로 통합한 IT 기반 폐기물 종합관리 시스템
허용,허락하여 받아들임
알람,경보， 경고 신호
알루미늄,은백색의 가볍고 부드러운 금속 원소. 가공하기 쉽고 가벼우며 내식성이 있음
대체시,무언가를 다른 것으로 대체할 당시
고도,평균 해수면 따위를 0으로 하여 측정한 대상 물체의 높이
배정,配定. 몫을 나누어 정함
배정자,어떤 몫에 배정된 사람
수당,手當 정한 급료 이외에 주는 보수
오전,1. 자정부터 낮 열두시 까지의 시간
,
AM컬럼,(테이블·엑셀 등) AM컬럼
행정구역도,행정 기관의 권한이 미치는 범위의 일정한 구역. 특별시， 광역시， 도， 군， 읍， 면 따위 중 도를 말한다
행정구역구,행정 기관의 권한이 미치는 범위의 일정한 구역. 특별시， 광역시， 도， 군， 읍， 면 따위 중 구를 말한다
행정구역군,행정 기관의 권한이 미치는 범위의 일정한 구역. 특별시， 광역시， 도， 군， 읍， 면 따위 중 군을 말한다
행정구역시,행정 기관의 권한이 미치는 범위의 일정한 구역. 특별시， 광역시， 도， 군， 읍， 면 따위 중 시를 말한다
유원지,돌아다니며 구경하거나 놀기 위하여 여러 가지 설비를 갖춘 곳
암모니아성질소,암모니아나 암모늄을 함유한 질소
강수량,비， 눈， 우박， 안개 따위로 일정 기간 동안 일정한 곳에 내린 물의 총량. 기본 단위는 mm
양서류,양서강의 동물을 일상적으로 통틀어 이르는 말. 어류와 파충류의 중간으로， 땅 위 또는 물속에서 산다
강우량,일정 기간 동안 일정한 곳에 내린 비의 분량. 기본 단위는 mm
금액,돈의 액수
연평균,1년을 단위로 하여 내는 평균
고시,告示. 글로 써서 게시하여 널리 알림. 주로 행정 기관에서 일반 국민들을 대상으로 어떤 내용을 알리는 경우를 이름
AN컬럼,(테이블·엑셀 등) AN컬럼
각도,한 점에서 갈리어 나간 두 직선의 벌어진 정도. 원의 중심에서 원의 둘레를 360등분한 것을 1도로 정의함
분석,복잡한 현상이나 대상 또는 개념을， 그것을 구성하는 단순한 요소로 분해하는 일
분석자,결과 등을 분석하는 사람
연간주행거리,차량이 일년동안 주행한 거리
동물,1. 생물계의 두 갈래 가운데 하나. 현재 100만~120만 종이 알려져 있고 그 가운데 약 80%는 곤충이 차지한다. 원생동물부터 척추동물까지 23개 문(門)으로 분류된다
,
예외,例外. 일반적 규칙이나 정례에서 벗어나는 일
유사도,어떤 대상과 비슷한 정도
풍속계,풍속을 측정하는 기계. 풍력계(風力計)라고도 한다
연간,한 해 동안
주석,낱말이나 문장의 뜻을 쉽게 풀이함. 또는 그런 글
동식물,동물과 식물을 아울러 이르는 말
답변,答辯. 물음에 대하여 밝혀 대답함. 또는 그런 대답
답안지,문제의 해답을 쓴 용지
답변자,묻는 말에 대하여 밝혀 답하는 사람. ≒응답자
부속,附屬. 주된 사물이나 기관에 딸려서 붙음. 또는 그렇게 딸려 붙은 사물
부속서,외교적인 교섭에서 일정한 효력을 지닌 문서
익명,이름을 숨김. 또는 숨긴 이름이나 그 대신 쓰는 이름
AO컬럼,(테이블·엑셀 등) AO컬럼
사과,사과나무의 열매
별도,1.원래의 것에 덧붙여서 추가한 것
,
AP컬럼,(테이블·엑셀 등) AP컬럼
API,응용프로그램 인터페이스. 응용프로그램을 개발하기 위한 함수의 집합
적용,適用. 알맞게 이용하거나 맞추어 씀
신청자,申請者. 관청이나 기관， 단체에 대하여 어떤 사항을 요청하는 사람
신청서,단체나 기관에 어떠한 일이나 물건을 알려 청구하는 내용을 기록한 문서
신청,申請. 단체나 기관에 어떠한 일이나 물건을 알려 청구함
부임,赴任 임명이나 발령을 받아 근무할 곳으로 감
애플리케이션,애플리케이션 (응용 소프트웨어의 총칭 또는 컴퓨터에 의한 실무 처리 등에 적합한 특정 업무)
출원,出願. 청원이나 원서를 냄
출현,나타나거나 또는 나타나서 보임
장치,어떤 목적에 따라 기능하도록 기계， 도구 따위를 그 장소에 장착함. 또는 그 기계， 도구， 설비
승인,承認. 어떤 사실을 마땅하다고 받아들임. 어떤 특정한 행위에 대하여 행하는 승낙이나 동의
결재자,결재할 권한이 있는 사람
AQ컬럼,(테이블·엑셀 등) AQ컬럼
건축,집이나 성， 다리 따위의 구조물을 그 목적에 따라 설계하여 흙이나 나무， 돌， 벽돌， 쇠 따위를 써서 세우거나 쌓아 만드는 일
AR컬럼,(테이블·엑셀 등) AR컬럼
면적,面積. 면이 이차원의 공간을 차지하는 넓이의 크기
비산,비소 화합물의 하나
주변,어떤 대상의 둘레 또는 근처
정리,整理. 문제가 되거나 불필요한 것을 줄이거나 없애서 말끔하게 바로잡음
기압,氣壓 공기 압력
도착항,도착하는 항구 또는 공항
대기질,대기의 성질. 대기의 구성 성분， 오염 정도 따위의 전반적인 상태를 말한다
배치,사람이나 물자 따위를 일정한 자리에 나누어 둠
항목별,항목에 따른， 항목마다의
인공,자연 그대로의 사물에 사람의 손길이나 힘을 가하여 바꾸어 놓는 일
기온,氣溫 대기의 온도. [보통， 지면으로부터 1.5m 높이에 있는 공기의 온도를 이름.]
도착,목적한 곳에 다다름
도착지,어떤 곳에 이르러 닿는 곳
AS컬럼,(테이블·엑셀 등) AS컬럼
할당,몫을 갈라 나눔. 또는 그 나눈 몫
보조,보태어 도움
해발,海拔 바다의 평균 수면을 기준으로 하여 잰 어느 지점의 높이
의원,議員 국회나 지방 의회와 같은 합의체(合議體)의 구성원으로 의결권을 가진 사람
과제,처리하거나 해결해야할 문제
비소,금속광택이 나는 결정성의 비금속 원소
자산,資産. 개인이나 법인이 소유하고 있는 경제적 가치가 있는 유형/무형의 재산
부착조류,바위와 같은 견고한 표면에 붙어 살아가는 조류. 물이 있는 해얌 및 하천이나 호소 등지에서 발견된다
첨부,안건이나 문서 따위를 덧붙임
AT컬럼,(테이블·엑셀 등) AT컬럼
첨부파일,덧붙이는 파일
직권,직무상의 권한
가을,한 해의 네 철 가운데 세번째. 여름과 겨울 사이의 계절로 입추에서 입동 전까지를 이름
출석,어떤 자리에 나아가 참석함
차량2부제,차량 번호 끝자리가 홀수인 차량은 홀수 일에만， 짝수인 차량은 짝수 일에만 자동차를 운행할 수 있게 하는 제도
결재,決裁. 결정할 권한이 있는 상관이 부하가 제출한 안건을 검토하여 허가하거나 승인함
양미역취,국화과의 여러해살이 풀. 키가 1~2.5m이고 잎은 촘촘하게 어긋난 피침 모양으로 난다
활동자료,어떤 일의 성과를 거두기 위하여 몸을 움직여 얻은 정보
부착돌말류,하천생태계 먹이사슬의 1차 생산자로서 하상의 자갈이나 호박돌 등의 돌(기질)에 부착하여 서식하는 돌말류
속성,사물의 특징이나 성질
입회,일이 진행되는 현장에 가서 지켜보는 행위
경매용,1. 같은 종류의 물건을 파는 사람이 여럿일 때 가장 싸게 팔겠다는 사람에게 물건을 사들이는 용도
,
AU컬럼,(테이블·엑셀 등) AU컬럼
감사,법인의 재산이나 업무를 감사하는 상설기관. 또는 그런 사람
저자,著者. 글로 써서 책을 지어 낸 사람
전거,1. 말이나 문장의 근거가 되는 문헌상의 출처
,
권한,權限. 어떤 사람이나 기관의 권리나 권력이 미치는 범위
자동,기계나 설비 따위가 자체 내에 있는 일정한 장치의 작용에 의하여 스스로 작동함 또는 그런 기계
승인자,承認者. 승인을 하는 권한을 가졌거나 승인을 한 사람이나 조직
AV컬럼,(테이블·엑셀 등) AV컬럼
평균,1. 어떤 값들의 집합의 적절한 특징을 나타내거나 요약하는 것
,
예년,1. 보통의 해
,
항공,비행기 등으로 공중을 날아다님
통지,通知. 기별을 보내어 알게 함
AW컬럼,(테이블·엑셀 등) AW컬럼
시상,상장이나 상품， 상금 따위를 줌
수상자,상을 받는 사람
수상작,상을 받은 작품
자동기상관측소,사람이 상주하기 적합하지 않은 외딴 곳의 관측값을 자동적으로 본부로 보내주는 기상관측소
AX컬럼,(테이블·엑셀 등) AX컬럼
AY컬럼,(테이블·엑셀 등) AY컬럼
AZ컬럼,(테이블·엑셀 등) AZ컬럼
BA컬럼,(테이블·엑셀 등) BA컬럼
대역,어떤 폭으로써 정해진 범위. 최대 주파수에서 최저 주파수까지의 구역
은행,銀行. 예금을 받아 그 돈을 자금으로 하여 대출， 어음 거래， 증권의 인수 따위를 업무로 하는 금융 기관
기초,基礎，
,
,
근거,근본이 되는 거점 혹은 증거
일괄,한데 묶음. 한데 아우름
전지,전기 에너지를 화학 에너지로 바꾸어 모아 두었다가 필요한 때에 전기로 재생하는 장치
BAU,온실가스 배출량 전망치
BB컬럼,(테이블·엑셀 등) BB컬럼
게시판,揭示板. 여러 사람에게 알릴 내용을 내붙이거나 내걸어 두루 보게 붙이는 판
가시박,물가에서 자라는 일년생 초본. 줄기는 4~8미터 정도이며， 덩굴손으로 다른 물체를 감고 자란다
BC컬럼,(테이블·엑셀 등) BC컬럼
변경전,변경하기 전
벤치마크,토지의 높이를 측량할 때에 표고의 기준이 되는 점
세포,생물체를 이루는 기본 단위
군집,일정한 지역 내에서 생활하고 있는 모든 생물 개체군의 모임
B컬럼,(테이블·엑셀 등) B컬럼
박테리아,생물체 가운데 가장 미세하고 가장 하등에 속하는 단세포 생활체. 다른 생물체에 기생하여 병을 일으키기도 하고 발효나 부패 작용을 하기도 하여 생태계의 물질 순환에 중요한 역할을 한다
BD컬럼,(테이블·엑셀 등) BD컬럼
활엽수림,활엽수로 이루어진 숲
백두대간,백두산 병사봉에서 지리산 천왕봉에 이르는 길이 약 1，470km의 산줄기를 이르는 말
부담금,어떠한 일에 책임을 지고 내야 하는 돈
건축물,建築物. 땅 위에 지은 구조물 중에서 지붕， 기둥， 벽이 있는 건물을 통틀어 이르는 말
본문,주요 내용을 이룬 부분의 글
업체확정,사업이나 기업의 주체를 확실하게 정함
BE컬럼,(테이블·엑셀 등) BE컬럼
BF컬럼,(테이블·엑셀 등) BF컬럼
이전,以前. 기준이 되는 때를 포함하여 그보다 앞
보퍼트,보퍼트 풍력(風力) 계급
이전연도,기준이 되는 때를 포함하여 그보다 앞 연도
블루길,검정우럭과의 민물고기. 몸의 길이는 20cm 정도이며 아가미뚜껑 바로 위에 진한 녹색의 커다란 얼룩점이 있다
BG컬럼,(테이블·엑셀 등) BG컬럼
착공,着工. 공사를 시작함
시작,始作. 어떤 일이나 행동의 처음 단계를 이루거나 그렇게 하게 함. 또는 그 단계
바이오가스,미생물 따위를 이용하여 생산한 수소 메탄과 같은 연료용 가스를 통틀어 이르는 말
예산,豫算. 필요한 비용을 미리 헤아려 계산함. 또는 그 비용
BH컬럼,(테이블·엑셀 등) BH컬럼
BI컬럼,(테이블·엑셀 등) BI컬럼
입찰,상품의 매매나 도급 계약을 체결할 때 여러 희망자들에게 각자의 낙찰 희망 가격을 서면으로 제출하게 하는 일
이륜차,바퀴가 둘 달린 차를 통들어 이르는 말
의안,"議案 1. 회의 목적으로 삼을 사항의 ""내용"" (예: 제무제표 승인， 이익배당， 이사선임 등)"
생물군,어떤 지역에 살고 있는 모든 생물(체)들을 말한다. 어떤 단위로서 고려되는 식물군과 동물군을 말한다
조류,조강의 척추동물을 일상적으로 통틀어 이르는 말. 날짐승. 새
사업,어떠한 일을 일정한 목적과 계획을 가지고 짜임새 있게 지속적으로 경영함. 또는 그 일
업소,사업을 벌이고 있는 장소
BJ컬럼,(테이블·엑셀 등) BJ컬럼
BK컬럼,(테이블·엑셀 등) BK컬럼
뒷자리,1. 주민번호， 우편번호 등의 문자열에서 뒷 쪽 부분
,
배경,사건이나 환경， 인물 따위를 둘러싼 주위의 정경
책자,일정한 목적， 내용， 체재에 맞추어 사상， 감정， 지식 따위를 글이나 그림으로 표현하여 적거나 인쇄하여 묶어 놓은 것
북마크,인터넷의 웹브라우저에서 웹사이트의 주소를 등록해 놓고 나중에 바로 찾아 갈 수 있도록 하는 기능
뒷면,물체의 뒤쪽 면
백업,잘못된 조작 때문에 데이터나 정보파일이 손상되는것에 대비하여 똑같은 파일을 여분으로 디스켓 따위에 복사해 두는 일
선하증권,船荷證券 선하증권(Bill of Lading)， 운송물을 수령 또는 선적한 때 용선자(傭船者)나 송하인의 청구에 따라 선박소유자가 발행하여 양륙항(揚陸港)에서 증권소지인에게 운송물을 인도할 것을 약속하는 유가증권
블랙박스,비행기나 차량 따위에 비치하는 비행 또는 주행 자료 자동 기록 장치. 사고가 났을 때 그 원인을 밝히는 데 중요한 구실을 한다
블록,Block. 시가지， 주거 지대 따위의 작은 단위들을 몇 개 합친 일정한 구획
BL컬럼,(테이블·엑셀 등) BL컬럼
나지,1. 거름을 주지 아니한 생땅. 2. 초목이 없는 발가벗은 땅
건물,사람이 들어 살거나， 일을 하거나， 물건을 넣어 두기 위하여 지은 집을 통틀어 이르는 말
건설중,건물， 설비， 시설 따위를 새로 만들어 세우는 중
황소개구리,개구릿과의 하나. 외래종으로 몸의 길이는 17~20cm이며， 수컷의 등은 짙은 녹색에 검정 얼룩점이 있고 암컷의 등은 갈색에 검정 얼룩무늬가 있따
BM컬럼,(테이블·엑셀 등) BM컬럼
저서성대형무척추동물,담수에서 서식하는 생물 중 눈으로 확인 가능하며 주생활 터전을 바닥으로 삼는 척추가 없는 동물을 통칭하는 용어
저서동물지수,다슬기 등 저서성대형무척추동물의 다양성 정보를 이용하여 담수생태계의 현황을 파악하는 대표적인 평가지수
건물본번,建物本番. 행정안전부장관이 정하는 기준에 따라 건물마다 매긴 번호의 붙임표(-) 앞에 오는 주된 번호
바이오매스,특정한 어떤 시점에서 특정한 공간 안에 존재하는 생물의 양
원료,어떤 물건을 만드는 데 들어가는 재료
BN컬럼,(테이블·엑셀 등) BN컬럼
수혜,은혜를 입음. 또는 혜택을 받음
번지,땅을 일정한 기준에 따라 나누어서 매겨 놓은 번호
건물번호,建物番號. 행정안전부장관이 정하는 기준에 따라 건물(둘 이상의 건물 등이 현실적으로 하나의 집단을 형성하고 있는 경우에는 그 건물등의 전체)마다 매긴 번호
배너,인터넷 홈페이지 등에서 띠 모양으로 만들어 부착하는 광고
벤젠,방향족 탄화수소의 기본이 되는 화합물. 콜타르를 증류하고 정제하여 얻는다
BO컬럼,(테이블·엑셀 등) BO컬럼
생물화학적산소요구량,수중에 포함되어 있는 유기물이 미생물에 의해서 호기성 분해될 때 필요로 하는 산소량을 ㎎/ℓ 또는 ppm 단위로 나타낸 것으로 물의 오염을 나타내는 지표로 활용됨
생물다양성,종 다양성， 유전자 다양성， 생태계 다양성을 통들어 이르는 말
볼드체,보통 활자체보다 선이 굵은 서양 활자체
도서,圖書. 일정한 목적， 내용， 체재에 맞추어 사상， 감정， 지식 따위를 글이나 그림으로 표현하여 적거나 인쇄하여 묶어 놓은 것(책)
용기,容器 물건을 담는 그릇
BP컬럼,(테이블·엑셀 등) BP컬럼
사업장,事業場. 어떤 사업의 활동이 이루어지는 일정한 장소
끓는점,액체 물질의 증기압이 외부 압력과 같아져 끓기 시작하는 온도
BQ컬럼,(테이블·엑셀 등) BQ컬럼
멧돼지,멧돼짓과의 포유류. 몸의 길이는 1~2미터， 어깨높이는 55~110cm이며， 몸빛은 검은색 또는 검은 갈색이다
분기,나뉘어서 갈라짐， 혹은 특정 회선 등을 효과적이고 경제적으로 이용하기 위하여 하나의 회선을 여러 갈래로 나누어 사용하는 것) 분기(선)， 분기(점)
BR컬럼,(테이블·엑셀 등) BR컬럼
생년월일,生年月日. 태어난 해와 달과 날
사육,어린 가축이나 짐슴이 자라도록 먹이어 기름
도입,導入 기술， 방법， 물자 따위를 끌어 들임
차단,액체나 기체 따위의 흐름 또는 통로를 통하지 못하게 막거나 끊음
조식,아침 끼니로 먹는 밥(=아침밥)
사업자등록번호,事業者登錄番號. 사업자 등록을 할 때 국세청에서 전산시스템에 따라 자동으로 부여하는 번호
지사별,본사에서 갈려 나가， 본사의 관할 아래 일정한 지역에서 본사의 일을 대신 맡아 하는 곳마다
생명자원,생명공학 연구 및 산업에 활용될 수 있는 생물체 및 이를 구성하고 있는 구성체
차입,돈이나 물건을 꾸어 들임
브라우저,인터넷을 검색할 때 문서나 영상， 음성 따위의 정보를 얻기 위해 사용하는 프로그램
기본,基本. 사물이나 현상， 이론， 시설 따위를 이루는 바탕
BS컬럼,(테이블·엑셀 등) BS컬럼
기본도,일정한 축척과 규격에 따라 측량된， 전국적인 지도 가운데 최대 축척인 지도
베셀함수,2차원 헬름홈츠 방정식을 극좌표로 변수 분리할 때에 동경(動徑) 부분에 대한 방정식으로 나오는 특정 미분 방정식의 해를 유체나 전자기파， 입자의 산란 따위에 사용하는 함수
베이스라인,개발과정에서 각 단계별 산출물을 검토， 평가， 처리 등 변화를 통제하는 시점 또는 특정시점에 만들어진 산출물의 집합
유역,강물이 흐르는 언저리
건물부번,建物副番. 행정안전부장관이 정하는 기준에 따라 건물마다 매긴 번호의 붙임표(-) 뒤에 오는 가지 번호
BT컬럼,(테이블·엑셀 등) BT컬럼
환경기초시설,환경을 보호하고 개선하기 위하여 기본적으로 필요한 시설
저서종,물의 밑바닥에 서식하는 생물의 종
바닥,평평하게 넓이를 이룬 부분. 또는 물체의 밑부분
버튼,1. <전기>전기 장치에 전류를 끊거나 이어 주거나 하며 기기를 조작하는 장치.
,
BU컬럼,(테이블·엑셀 등) BU컬럼
구축,체제， 체계 따위의 기초를 닦아 세움
다량,多量. 많은 분량
동호수,동(棟)과 호(號)로 집의 위치를 표시하는 건물에서， 동과 호의 숫자. 주로 아파트나 연립 주택에서 사용한다
연소,燃燒 물질이 산소와 화합할 때에， 많은 빛과 열을 냄. 또는 그런 현상
매수인,물건을 사들이는 사람
BV컬럼,(테이블·엑셀 등) BV컬럼
BW컬럼,(테이블·엑셀 등) BW컬럼
채광,창문 따위를 내어 햇빛을 비롯한 광선을 받아 들임
BX컬럼,(테이블·엑셀 등) BX컬럼
BY컬럼,(테이블·엑셀 등) BY컬럼
매수,買收. 물건을 사들임
바이트,대부분의 컴퓨터 시스템에서， 8 비트 길이를 가지는 정보의 기본 단위. 영어와 숫자 그리고 특수문자(아스키 문자표에 있는) 등의 경우 한 글자를 표현하는데 1 바이트가 필요하지만， 한글이나 한자 등은 한 글자를 표현하는데 2 바이트 소요
BZ컬럼,(테이블·엑셀 등) BZ컬럼
업체,業體. 사업이나 기업의 주체
사업자,事業者. 사업을 경영하는 사람
업태,業態. 영업이나 사업의 실태
출장,용무를 위하여 임시로 다른 곳으로 나감
출장지,출장 가는 곳. 또는 출장 임무를 수행하는 곳
출장자,공적인 볼일을 보러 건물 외부에 나가거나 업무 처리를 위해 다른 곳에 잠시 파견하는 사람
CA컬럼,(테이블·엑셀 등) CA컬럼
민원서류,국민이 민원 사항을 적어 해당 기관에 내는 서류
가두리,물건가에 둘린 언저리
계산,1.어떤 일이 자기에게 이해득실이 있는지 따짐
,
계산식,주어진 수를 일정한 규칙에 따라 처리하여 수치를 구하는 식
기준적용배출,기본이 되는 표준을 알맞게 이용하거나 맞추어 써서 안에서 밖으로 밀어 내보냄
승용차,사람이 타고 다니는 데 쓰는 자동차
카드,1. 어떤 내용을 증명하기 위하여 일정한 크기로 조그맣게 자른 두꺼운 종이나 플라스틱
,
,
,
CAS,미 화학협회에서 부여하는 화학물질의 고유번호로서 CWC 규제 화학물질에서도 화학물질색인 정보등록번호 사용
건당,件當 건(件)마다 따로따로
현금,1. 정부나 중앙은행에서 발행하는 지폐나 주화를 유가 증권과 구별하여 이르는말
,
원인,어떤 사물이나 상태를 변화시키거나 일으키게 하는 근본이 된 일이나 사건
주의,1. 마음에 새겨 두고 조심함
,
CB컬럼,(테이블·엑셀 등) CB컬럼
이산화탄소,탄소 산화물. 탄소가 완전 연소를 할 때 생기는 무색의 기체
일산화탄소,탄소 산화물. 탄소 한 원자에 산소 한 원자의 비율로 결합된 무색무취의 기체로 독성이 있으며， 탄소나 탄소 화합물의 불완전 연소로 생김
CC컬럼,(테이블·엑셀 등) CC컬럼
연속지적도,지적측량을 하지 아니하고 전산화된 지적도 및 임야도 파일을 이용하여， 도면상 경계점들을 연결하여 작성한 도면으로서 측량에 활용할 수 없는 도면을 말한다
발암,암이 생김. 또는 암이 생기게 함
C컬럼,(테이블·엑셀 등) C컬럼
도전양식,논에서 잉어를 양식하는 일
확인증명서,사실확인 내용 등을 증명하는 내용의 문서
산정식,셈하여 정하는 식
코드,1. 어떤 사회나 계급，직업 따위에서의 규약이나 관례
,
,
CD컬럼,(테이블·엑셀 등) CD컬럼
CDM,기후변화협약 총회에서 채택된 교토의정서 제12조 규정에 따라 지구온난화 현상 완화를 위해 선진국과 개발도상국이 공동으로 추진하는 온실가스 감축사업 제도
