NO,순번,표준단어명,표준단어 영문약어명,표준단어 영문명,표준단어 설명,형식단어여부,표준도메인분류명,이음동의어 목록,금칙어 목록,변경구분,변경일자,범정부표준준수 여부,범정부표준적용 차수,최종수정일시
1,1,BOD,Biochemical Oxygen Demand,BOD,생화학적 산소요구량과 같은 말로， 호기성 미생물이 일정 기간 동안 물 속에 있는 유기물을 분해할 때 사용하는 산소의 양을 말함,N,-,-,-,수정,2021-07-14 00:00:00.0,N,,20241111 13:35:04
2,2,AA컬럼,AA COLUMN,AACOL,(테이블·엑셀 등) AA컬럼,N,,,,제정,2023-09-06 00:00:00.0,N,,20241111 13:35:04
3,3,AB컬럼,AB COLUMN,ABCOL,(테이블·엑셀 등) AB컬럼,N,,,,제정,2023-09-06 00:00:00.0,N,,20241111 13:35:04
4,4,풍부도,ABUNDANCE,ABDNC,한 개체군의 크기， 즉 개체수 또는 생물량,N,,,,제정,2023-09-06 00:00:00.0,N,,20241111 13:35:04
5,5,신청업체,APPLY BUSINESS ENTITY,ABET,단체나 기관에 어떠한 일이나 물건을 알려 청구한 사업이나 기업의 주체,N,,,,제정,2023-09-06 00:00:00.0,N,,20241111 13:35:04
6,6,폐지,ABOLITION,ABL,廢止. 실시하여 오던 제도나 법규， 일 따위를 그만두거나 없앰,N,,,,수정,2021-07-14 00:00:00.0,Y,1차,20241111 13:35:04
7,7,능력,ABILITY,ABLT,일을 감당해 내는 힘,N,,역량,,제정,2023-09-06 00:00:00.0,N,,20241111 13:35:04
8,8,취하,ABANDON,ABNDN,신청하였던 일이나 서류 따위를 취소함,N,,,,제정,2023-09-06 00:00:00.0,N,,20241111 13:35:04
9,9,비정상,ABNORMAL,ABNML,정상이 아님. 정상적이 아닌 것,N,,,,수정,2021-07-14 00:00:00.0,N,,20241111 13:35:04
10,10,약어,ABBREVIATION,ABRV,略語 말 또는 단어의 일부분을 생략하여 간략화한 말,N,,,,제정,2023-09-06 00:00:00.0,Y,6차,20241111 13:35:04
11,11,결석,ABSENCE,ABSN,나가야 할 자리에 나가지 않음,N,,부재,,제정,2023-09-06 00:00:00.0,N,,20241111 13:35:04
12,12,흡수,ABSORPTION,ABST,외부에 있는 사람이나 사물 따위를 내부로 모아들임,N,,,,제정,2023-09-06 00:00:00.0,N,,20241111 13:35:04
13,13,석면,ASBESTOS,ABSTS,사문석 또는 각섬석이 섬유질로 변한 규산염 광물. 산성이나 염기성에 강하고 열과 전기가 잘 통하지 않아서 방열재， 방화재， 절연용 재료 따위로 많이 쓰인다,N,,,,제정,2023-09-06 00:00:00.0,N,,20241111 13:35:04
14,14,정도,ABOUT,ABT,程度 사물의 성질이나 가치를 양부(良否)， 우열 따위에서 본 분량이나 수준,N,,,,제정,2023-09-06 00:00:00.0,N,,20241111 13:35:04
15,15,탈루,ABATEMENT,ABTM,밖으로 빼내 새게 함,N,,,,제정,2023-09-06 00:00:00.0,N,,20241111 13:35:04
16,16,할당대상업체,ASSIGNMENT TARGER BUSINESS ENTITY,ABZTY,배출권거래법 제8조 제1항에 따라 환경부장관이 배출권 할당대상업체로 지정·고시한 업체,N,,,,제정,2023-09-06 00:00:00.0,N,,20241111 13:35:04
17,17,학력,ACADEMIC BACKGROUND,ACBG,學歷. 학교를 다닌 경력,N,,,,수정,2021-07-14 00:00:00.0,Y,2차,20241111 13:35:04
18,18,누적,ACCUMULATION,ACCM,포개져서 쌓임. 포개어 쌓음,N,,축적,,수정,2021-07-14 00:00:00.0,Y,6차,20241111 13:35:04
19,19,AC컬럼,AC COLUMN,ACCOL,(테이블·엑셀 등) AC컬럼,N,,,,제정,2023-09-06 00:00:00.0,N,,20241111 13:35:04
20,20,응낙,ACCEPTANCE,ACCP,상대편이 부탁하는 것을 응하여 받아줌,N,,수락， 수용,,제정,2023-09-06 00:00:00.0,N,,20241111 13:35:04
21,21,학술,ACADEMIC,ACDM,학문과 기술을 아울러 이르는말. 학문의 방법이나 이론,N,,,,제정,2023-09-06 00:00:00.0,N,,20241111 13:35:04
